ra;fase;turma;idade;ano_ingresso;pedra;inde;classificacao_geral;classificacao_fase;classificacao_turma;recomendacao_avaliador_1;recomendacao_avaliador_2;recomendacao_avaliador_3;recomendacao_avaliador_4;iaa;ieg;ips;recomendacao_psicologia;ida;nota_matematica;nota_portugues;nota_ingles;indicado_bolsa;atingiu_ponto_virada;ipv;ian;fase_ideal;defasagem;destaque_ieg;destaque_ida;destaque_ipv;ipp;ano;feminino;masculino;formado;instituicao_nao_informada;instituicao_privada;instituicao_publica;pedra_oe;rec_aval_1_oe;rec_aval_2_oe;rec_aval_3_oe;rec_aval_4_oe;recomendacao_psicologia_le
RA-1;7;A;19;2016;quartzo;5.783;753.0;18.0;10.0;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;8.3;4.1;5.6;Requer avaliação;4.0;2.7;3.5;6.0;1;0;7.278;5.0;8;-1.0;0;0;0;7.96875;2022;1;0;0;0;0;1;0;2;5;4;2;3
RA-2;7;A;17;2017;ametista;7.055;469.0;8.0;3.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;8.8;5.2;6.3;Sem limitações;6.8;6.3;4.5;9.7;0;0;6.778;10.0;7;0.0;0;0;0;7.8125;2022;1;0;0;0;1;0;2;4;5;4;5;4
RA-3;7;A;17;2016;agata;6.591;629.0;13.0;6.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;0.0;7.9;5.6;Sem limitações;5.6;5.8;4.0;6.9;0;0;7.556;10.0;7;0.0;1;0;1;8.125;2022;1;0;0;0;1;0;1;4;5;5;5;4
RA-4;7;A;17;2017;quartzo;5.951;731.0;15.0;7.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;8.8;4.5;5.6;Requer avaliação;5.0;2.8;3.5;8.7;0;0;5.278;10.0;7;0.0;0;0;0;5.625;2022;0;1;0;0;1;0;0;4;2;2;2;3
RA-5;7;A;17;2016;ametista;7.427;344.0;6.0;2.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;7.9;8.6;5.6;Requer avaliação;5.2;7.0;2.9;5.7;0;0;7.389;10.0;7;0.0;1;0;0;8.28125;2022;1;0;0;0;1;0;2;4;5;5;5;3
RA-6;7;A;18;2021;quartzo;5.848;745.0;16.0;8.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;7.9;4.5;7.5;Sem limitações;3.3;2.3;5.3;2.3;1;0;7.222;5.0;8;-1.0;0;0;0;7.96875;2022;1;0;0;0;0;1;0;4;5;5;2;4
RA-7;7;A;18;2017;agata;6.818;550.0;11.0;5.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;0.0;8.4;7.5;Sem limitações;7.6;8.2;5.7;9.0;0;0;7.667;5.0;8;-1.0;1;1;1;8.28125;2022;0;1;0;0;1;0;1;4;5;5;2;4
RA-8;7;A;20;2018;quartzo;4.786;836.0;21.0;13.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;7.1;4.6;6.3;Requer avaliação;1.6;1.2;0.7;2.9;0;0;6.278;5.0;8;-1.0;0;0;0;4.53125;2022;1;0;0;0;0;1;0;2;2;2;2;3
RA-9;7;A;18;2019;topazio;8.109;113.0;1.0;1.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;8.8;9.5;7.5;Sem limitações;6.7;5.5;6.0;8.7;1;1;9.5;5.0;8;-1.0;1;0;1;8.4375;2022;1;0;0;0;0;1;3;4;2;5;3;4
RA-10;7;A;18;2021;quartzo;5.784;752.0;17.0;9.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;8.3;5.2;5.0;Requer avaliação;4.1;3.3;2.6;6.4;0;0;7.056;5.0;8;-1.0;0;0;0;6.71875;2022;1;0;0;0;0;1;0;4;2;2;2;3
RA-11;7;A;18;2016;quartzo;5.323;799.0;19.0;11.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;9.2;4.2;5.0;Requer avaliação;3.0;1.8;2.5;4.5;0;0;6.389;5.0;8;-1.0;0;0;0;7.03125;2022;1;0;0;0;0;1;0;4;2;2;2;3
RA-12;7;A;17;2020;quartzo;4.832;834.0;20.0;12.0;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;0.0;4.0;6.9;Sem limitações;1.5;2.7;1.1;0.7;1;0;6.389;10.0;7;0.0;0;0;0;7.65625;2022;1;0;0;0;0;1;0;4;5;2;2;4
RA-13;7;A;18;2016;agata;6.902;524.0;10.0;4.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;7.9;7.4;7.5;Sem limitações;4.7;3.5;5.5;5.2;1;0;8.056;5.0;8;-1.0;0;0;1;8.28125;2022;0;1;0;0;0;1;1;4;5;5;2;4
RA-14;7;D;21;2022;agata;6.793;558.0;12.0;7.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;7.9;8.3;7.5;Não atendido;4.0;8.0;0.0;0.0;1;0;7.75;5.0;8;-1.0;1;0;1;7.34375;2022;0;1;0;0;0;1;1;5;2;2;2;0
RA-15;7;D;18;2022;ametista;7.783;207.0;3.0;2.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase + Bolsa;Mantido na Fase atual;8.8;10.0;7.5;Não atendido;7.3;8.0;6.5;0.0;1;0;7.292;5.0;8;-1.0;1;0;0;7.5;2022;0;1;0;0;0;1;2;5;2;3;2;0
RA-16;7;D;19;2022;agata;6.112;706.0;14.0;8.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase + Bolsa;Mantido na Fase atual;7.9;8.3;5.0;Requer avaliação;3.5;7.0;0.0;0.0;1;0;6.333;5.0;8;-1.0;1;0;0;6.875;2022;0;1;0;0;0;1;1;5;2;3;2;3
RA-17;7;D;20;2022;topazio;8.068;125.0;2.0;1.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase + Bolsa;Mantido na Fase atual;8.8;10.0;7.5;Não atendido;7.8;9.0;6.5;0.0;1;0;8.292;5.0;8;-1.0;1;1;1;7.34375;2022;0;1;0;0;0;1;3;5;2;3;2;0
RA-18;7;D;19;2022;ametista;7.226;418.0;7.0;5.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;6.3;8.7;6.3;Requer avaliação;9.0;9.0;9.0;0.0;1;0;6.875;5.0;8;-1.0;1;1;0;5.625;2022;0;1;0;0;0;1;2;5;2;5;2;3
RA-19;7;D;19;2022;ametista;7.665;248.0;4.0;3.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;7.9;9.5;7.5;Sem limitações;8.0;7.0;9.0;0.0;1;0;7.0;5.0;8;-1.0;1;1;0;7.1875;2022;1;0;0;0;0;1;2;5;2;5;2;4
RA-20;7;D;19;2022;ametista;7.535;296.0;5.0;4.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase + Bolsa;Mantido na Fase atual;7.1;10.0;6.3;Não atendido;7.8;9.0;6.5;0.0;1;0;7.167;5.0;8;-1.0;1;1;0;7.1875;2022;1;0;0;0;0;1;2;5;2;3;2;0
RA-21;7;D;18;2022;agata;6.945;508.0;9.0;6.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;9.6;9.2;7.5;Não atendido;3.8;7.0;0.5;0.0;1;0;7.25;5.0;8;-1.0;1;0;0;7.03125;2022;0;1;0;0;0;1;1;5;2;2;2;0
RA-22;6;A;17;2019;ametista;7.474;327.0;10.0;10.0;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Promovido de Fase;8.3;7.4;8.1;Sem limitações;6.7;9.0;3.1;7.8;0;1;8.833;5.0;7;-1.0;0;0;1;7.5;2022;1;0;0;0;1;0;2;4;5;3;4;4
RA-23;6;A;17;2021;ametista;7.677;243.0;8.0;8.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;8.3;8.2;8.1;Sem limitações;6.7;7.2;4.7;8.2;1;1;8.556;5.0;7;-1.0;1;0;1;8.4375;2022;0;1;0;0;0;1;2;4;5;5;5;4
RA-24;6;A;17;2021;topazio;8.087;119.0;5.0;5.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;9.2;7.9;6.9;Requer avaliação;8.6;10.0;6.3;9.7;0;1;9.111;5.0;7;-1.0;1;1;1;8.59375;2022;1;0;0;0;1;0;3;4;2;5;5;3
RA-25;6;A;17;2021;ametista;7.979;147.0;6.0;6.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;8.3;8.3;8.8;Sem limitações;6.9;9.2;3.8;7.7;1;1;9.667;5.0;7;-1.0;1;0;1;7.96875;2022;1;0;0;0;0;1;2;4;5;4;5;4
RA-26;6;A;17;2022;topazio;8.677;17.0;3.0;3.0;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;9.6;8.8;10.0;Sem limitações;8.0;9.5;4.4;10.0;1;1;10.0;5.0;7;-1.0;1;1;1;8.75;2022;0;1;0;0;0;1;3;4;5;3;5;4
RA-27;6;A;17;2016;ametista;7.124;449.0;12.0;12.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;0.0;7.6;8.1;Sem limitações;8.0;7.7;6.3;10.0;0;1;9.111;5.0;7;-1.0;1;1;1;8.75;2022;0;1;0;0;1;0;2;4;5;5;5;4
RA-28;6;A;17;2019;agata;6.242;698.0;14.0;14.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;7.9;6.1;7.5;Requer avaliação;5.0;8.2;1.5;5.3;0;0;6.333;5.0;7;-1.0;0;0;0;7.1875;2022;1;0;0;0;0;1;1;4;2;2;4;3
RA-29;6;A;17;2022;quartzo;4.985;821.0;16.0;16.0;Promovido de Fase;Mantido na Fase + Bolsa;Mantido na Fase atual;Alocado em Fase anterior;0.0;4.0;8.8;Requer avaliação;3.7;6.3;1.1;3.8;1;0;7.611;5.0;7;-1.0;0;0;1;5.46875;2022;0;1;0;0;0;1;0;4;3;2;1;3
RA-30;6;A;16;2021;ametista;7.605;270.0;9.0;9.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;8.8;6.4;7.5;Sem limitações;7.5;8.5;4.4;9.7;0;0;7.333;10.0;6;0.0;0;1;0;7.1875;2022;1;0;0;0;0;1;2;4;2;4;4;4
RA-31;6;A;17;2019;topazio;8.843;9.0;2.0;2.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;10.0;9.5;9.4;Sem limitações;8.0;9.0;5.7;9.3;0;1;10.0;5.0;7;-1.0;1;1;1;9.0625;2022;1;0;0;0;1;0;3;4;5;5;5;4
RA-32;6;A;16;2018;ametista;7.37;370.0;11.0;11.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;8.8;5.2;8.8;Sem limitações;6.1;5.7;3.6;8.9;0;0;7.944;10.0;6;0.0;0;0;1;7.65625;2022;1;0;0;0;1;0;2;4;2;2;4;4
RA-33;6;A;17;2020;quartzo;4.952;824.0;17.0;17.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;0.0;4.6;7.5;Sem limitações;4.8;9.0;1.6;3.7;0;0;6.0;5.0;7;-1.0;0;0;0;6.25;2022;1;0;0;0;0;1;0;4;2;2;4;4
RA-34;6;A;17;2016;agata;6.259;692.0;13.0;13.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;9.6;4.8;8.1;Sem limitações;3.8;4.7;4.0;2.8;0;0;7.278;5.0;7;-1.0;0;0;0;7.96875;2022;0;1;0;0;1;0;1;4;5;4;5;4
RA-35;6;A;17;2019;topazio;8.965;5.0;1.0;1.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;10.0;9.6;9.4;Sem limitações;8.5;9.0;7.1;9.3;0;1;10.0;5.0;7;-1.0;1;1;1;9.0625;2022;1;0;0;0;1;0;3;4;5;5;5;4
RA-36;6;A;17;2019;ametista;7.876;177.0;7.0;7.0;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;9.2;9.0;6.9;Sem limitações;6.8;8.5;4.3;7.8;0;1;8.944;5.0;7;-1.0;1;0;1;8.125;2022;1;0;0;0;1;0;2;4;5;3;5;4
RA-37;6;A;17;2019;quartzo;4.95;825.0;18.0;18.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase;0.0;5.4;5.0;Sem limitações;5.9;2.3;5.3;10.0;0;0;5.222;5.0;7;-1.0;0;0;0;6.5625;2022;1;0;0;0;1;0;0;4;2;3;4;4
RA-38;6;A;17;2017;topazio;8.523;31.0;4.0;4.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;9.2;8.9;7.5;Não indicado;8.6;9.0;7.0;9.7;0;1;9.833;5.0;7;-1.0;1;1;1;8.90625;2022;1;0;0;0;1;0;3;4;5;5;5;2
RA-39;6;A;16;2017;agata;6.033;722.0;15.0;15.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;0.0;4.8;6.9;Requer avaliação;6.9;7.7;5.1;7.8;0;0;6.111;10.0;6;0.0;0;0;0;7.96875;2022;1;0;0;0;1;0;1;4;2;4;4;3
RA-40;5;A;16;2016;ametista;7.203;429.0;27.0;3.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;7.9;7.8;7.5;Sem limitações;6.8;4.7;7.3;8.4;0;0;7.75;5.0;6;-1.0;1;0;1;6.875;2022;1;0;0;0;1;0;2;4;2;5;0;4
RA-41;5;A;17;2018;quartzo;5.581;777.0;51.0;9.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;9.2;6.1;5.0;Requer avaliação;5.6;6.3;2.5;8.0;0;0;4.375;5.0;7;-2.0;0;0;0;4.375;2022;0;1;0;0;0;1;0;2;2;2;0;3
RA-42;5;A;15;2019;agata;6.72;582.0;33.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;8.3;7.9;5.6;Requer avaliação;4.8;3.7;4.5;6.2;0;0;6.083;10.0;5;0.0;1;0;0;5.625;2022;0;1;0;0;1;0;1;2;2;4;0;3
RA-43;5;A;16;2019;quartzo;5.486;791.0;54.0;11.0;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não avaliado;6.3;6.5;5.6;Requer avaliação;4.3;4.0;5.8;3.2;0;0;5.958;5.0;6;-1.0;0;0;0;4.375;2022;1;0;0;0;0;1;0;2;2;1;0;3
RA-44;5;A;17;2021;quartzo;5.542;785.0;52.0;10.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;5.0;5.9;7.5;Sem limitações;3.0;2.3;3.5;3.2;1;0;7.292;5.0;7;-2.0;0;0;0;5.416666666666667;2022;1;0;0;0;0;1;0;2;2;3;0;4
RA-45;5;A;15;2019;ametista;7.591;277.0;17.0;2.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;7.9;8.9;5.6;Requer avaliação;6.8;6.3;5.2;8.8;0;0;7.417;10.0;5;0.0;1;0;0;6.25;2022;1;0;0;0;1;0;2;4;2;5;0;3
RA-46;5;A;17;2022;agata;6.048;719.0;46.0;7.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;8.8;8.4;6.3;Sem limitações;2.1;2.8;2.8;0.7;0;0;7.083;5.0;7;-2.0;1;0;0;5.208333333333334;2022;1;0;0;0;0;1;1;2;2;2;0;4
RA-47;5;A;17;2022;quartzo;5.677;762.0;49.0;8.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;7.9;6.3;7.5;Sem limitações;2.1;2.5;2.2;1.5;0;0;7.042;5.0;7;-2.0;0;0;0;5.625;2022;1;0;0;0;0;1;0;2;2;2;0;4
RA-48;5;A;15;2017;ametista;8.006;140.0;10.0;1.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;6.7;8.4;7.5;Sem limitações;8.1;6.7;8.0;9.5;0;1;8.5;10.0;5;0.0;1;1;1;6.041666666666666;2022;1;0;0;0;1;0;2;4;2;5;0;4
RA-49;5;A;17;2022;agata;6.304;687.0;42.0;6.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;7.5;7.4;7.5;Sem limitações;3.9;1.5;4.2;6.2;0;0;7.042;5.0;7;-2.0;0;0;0;6.25;2022;1;0;0;0;0;1;1;2;2;4;0;4
RA-50;5;A;18;2022;ametista;7.138;445.0;28.0;4.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;7.5;8.4;7.5;Sem limitações;7.8;6.5;7.3;9.7;0;0;7.542;2.5;8;-3.0;1;1;1;6.25;2022;1;0;0;0;0;1;2;4;2;4;0;4
RA-51;5;B;17;2022;agata;6.488;645.0;39.0;13.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;8.8;7.6;7.5;Não atendido;5.0;4.5;4.5;6.0;0;0;6.5;5.0;7;-2.0;1;0;0;5.416666666666667;2022;1;0;0;0;0;1;1;2;2;2;0;0
RA-52;5;B;13;2018;ametista;7.861;183.0;12.0;5.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;9.6;8.9;7.5;Não atendido;6.2;3.3;6.3;8.8;0;0;7.5;10.0;3;2.0;1;0;1;6.458333333333334;2022;0;1;0;0;1;0;2;4;2;5;0;0
RA-53;5;B;17;2022;agata;6.725;579.0;32.0;11.0;Promovido de Fase;Mantido na Fase atual;Alocado em Fase anterior;Não avaliado;9.2;7.0;7.5;Não atendido;7.0;6.0;8.0;0.0;0;0;6.458;5.0;7;-2.0;0;0;0;4.583333333333333;2022;0;1;0;0;0;1;1;4;2;1;0;0
RA-54;5;B;16;2022;agata;6.058;716.0;45.0;14.0;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não avaliado;7.9;6.9;7.5;Não atendido;4.8;3.0;6.5;0.0;0;0;6.125;5.0;6;-1.0;0;0;0;4.583333333333333;2022;1;0;0;0;0;1;1;2;2;1;0;0
RA-55;5;B;16;2017;agata;6.576;634.0;38.0;12.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;7.1;7.6;5.6;Requer avaliação;7.5;6.7;7.8;7.9;0;0;6.5;5.0;6;-1.0;1;0;0;5.0;2022;1;0;0;0;0;1;1;4;2;4;0;3
RA-56;5;B;15;2019;topazio;8.404;46.0;7.0;1.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;10.0;10.0;7.5;Sem limitações;7.0;4.5;6.5;10.0;0;0;8.25;10.0;5;0.0;1;0;1;6.041666666666667;2022;1;0;0;0;1;0;3;2;2;5;0;4
RA-57;5;B;16;2017;ametista;7.305;388.0;25.0;10.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;7.1;8.1;5.6;Requer avaliação;8.4;9.0;7.0;9.3;0;0;7.875;5.0;6;-1.0;1;1;1;6.458333333333332;2022;0;1;0;0;1;0;2;5;2;3;0;3
RA-58;5;B;15;2017;topazio;8.136;103.0;9.0;3.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;9.6;9.2;6.3;Sem limitações;7.2;4.5;8.0;9.0;0;0;8.125;10.0;5;0.0;1;0;1;6.458333333333334;2022;0;1;0;0;1;0;3;4;2;5;0;4
RA-59;5;B;17;2022;ametista;7.642;257.0;15.0;7.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;9.2;9.3;7.5;Não atendido;7.2;7.0;5.7;8.8;0;0;7.917;5.0;7;-2.0;1;0;1;6.041666666666667;2022;0;1;0;0;0;1;2;4;2;2;0;0
RA-60;5;B;18;2021;quartzo;5.537;787.0;53.0;16.0;Promovido de Fase;Mantido na Fase atual;Alocado em Fase anterior;Não avaliado;6.7;6.0;7.5;Não atendido;4.9;5.0;6.2;3.5;0;0;6.167;2.5;8;-3.0;0;0;0;4.583333333333333;2022;1;0;0;0;0;1;0;4;2;1;0;0
RA-61;5;B;15;2021;ametista;7.533;298.0;20.0;8.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;9.2;7.4;7.5;Não atendido;5.8;1.7;6.3;9.3;1;0;7.875;10.0;5;0.0;0;0;1;6.458333333333334;2022;0;1;0;0;0;1;2;2;2;5;0;0
RA-62;5;B;17;2022;ametista;7.891;173.0;11.0;4.0;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;8.8;9.4;7.5;Não atendido;9.3;8.5;10.0;0.0;1;0;7.25;5.0;7;-2.0;1;1;0;5.833333333333334;2022;0;1;0;0;0;1;2;4;5;2;0;0
RA-63;5;B;16;2018;topazio;8.282;64.0;8.0;2.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;8.3;9.1;8.8;Sem limitações;8.7;8.2;8.2;9.7;0;1;9.417;5.0;6;-1.0;1;1;1;6.458333333333334;2022;0;1;0;0;1;0;3;5;2;5;0;4
RA-64;5;B;16;2019;ametista;7.368;372.0;23.0;9.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;7.1;8.1;8.1;Sem limitações;7.5;4.8;8.2;9.4;1;0;8.25;5.0;6;-1.0;1;0;1;5.833333333333334;2022;0;1;0;0;0;1;2;2;2;5;0;4
RA-65;5;B;17;2022;ametista;7.712;232.0;13.0;6.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;8.3;7.7;7.5;Não atendido;9.3;9.0;9.5;9.5;1;0;7.875;5.0;7;-2.0;1;1;1;6.458333333333334;2022;1;0;0;0;0;1;2;5;2;5;0;0
RA-66;5;B;17;2022;quartzo;5.665;768.0;50.0;15.0;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não avaliado;7.5;5.6;7.5;Não atendido;4.5;3.0;6.0;0.0;0;0;5.917;5.0;7;-2.0;0;0;0;4.583333333333333;2022;1;0;0;0;0;1;0;2;2;1;0;0
RA-67;5;C;16;2019;quartzo;5.195;812.0;56.0;6.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;5.8;3.0;7.5;Não atendido;3.6;3.0;4.2;3.5;0;0;6.889;5.0;6;-1.0;0;0;0;6.71875;2022;1;0;0;0;0;1;0;4;2;4;2;0
RA-68;5;C;16;2019;agata;6.438;653.0;40.0;2.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;8.3;6.0;7.5;Não atendido;4.0;4.7;4.8;2.7;1;0;7.944;5.0;6;-1.0;0;0;1;7.5;2022;0;1;0;0;0;1;1;4;2;4;5;0
RA-69;5;C;16;2018;quartzo;5.718;756.0;47.0;3.0;Promovido de Fase;Mantido na Fase atual;Alocado em Fase anterior;Alocado em Fase anterior;8.3;6.1;7.5;Sem limitações;2.5;4.7;2.6;0.3;0;0;6.167;5.0;6;-1.0;0;0;0;6.875;2022;0;1;0;0;0;1;0;4;2;1;1;4
RA-70;5;C;16;2017;quartzo;5.712;757.0;48.0;4.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;8.8;6.6;5.0;Sem limitações;2.9;5.7;2.9;0.2;0;0;6.111;5.0;6;-1.0;0;0;0;7.03125;2022;1;0;0;0;0;1;0;4;2;2;4;4
RA-71;5;C;17;2019;quartzo;4.332;846.0;58.0;8.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;7.9;2.0;7.5;Não atendido;1.2;1.3;2.2;0.0;0;0;5.833;5.0;7;-2.0;0;0;0;5.0;2022;1;0;0;0;0;1;0;4;2;2;1;0
RA-72;5;C;17;2022;ametista;7.64;259.0;16.0;1.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;8.3;7.5;7.5;Não atendido;7.8;7.5;7.8;8.0;1;1;8.667;5.0;7;-2.0;1;1;1;7.65625;2022;1;0;0;0;0;1;2;5;2;5;4;0
RA-73;5;C;17;2022;quartzo;5.271;804.0;55.0;5.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;7.1;3.0;7.5;Não atendido;3.3;4.5;3.0;2.3;1;0;7.278;5.0;7;-2.0;0;0;0;5.9375;2022;1;0;0;0;0;1;0;5;2;2;1;0
RA-74;5;C;16;2022;quartzo;4.989;820.0;57.0;7.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;9.6;3.3;7.5;Não atendido;2.0;6.0;0.0;0.0;0;0;5.833;5.0;6;-1.0;0;0;0;5.625;2022;0;1;0;0;0;1;0;2;2;2;1;0
RA-75;5;F;16;2022;quartzo;3.915;855.0;59.0;4.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Alocado em Fase anterior;5.4;3.8;6.3;Sem limitações;0.0;0.0;0.0;0.0;0;0;4.625;5.0;6;-1.0;0;0;0;5.625;2022;1;0;0;0;0;1;0;2;2;4;1;4
RA-76;5;F;15;2017;topazio;9.105;3.0;3.0;1.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;10.0;9.1;8.1;Sem limitações;8.7;9.3;8.3;8.4;0;1;9.292;10.0;5;0.0;1;1;1;8.75;2022;1;0;0;0;1;0;3;5;2;5;5;4
RA-77;5;F;16;2019;quartzo;3.846;857.0;60.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Alocado em Fase anterior;7.1;2.7;5.0;Não indicado;0.7;0.3;1.8;0.0;0;0;4.625;5.0;6;-1.0;0;0;0;5.3125;2022;0;1;0;0;0;1;0;2;2;4;1;2
RA-78;5;F;17;2018;ametista;7.04;475.0;29.0;2.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase;8.3;6.6;5.6;Requer avaliação;7.2;8.7;5.7;7.3;0;0;8.0;5.0;7;-2.0;0;0;1;7.8125;2022;0;1;0;0;1;0;2;5;2;3;4;3
RA-79;5;F;16;2018;agata;6.847;541.0;31.0;3.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;5.4;6.3;5.6;Requer avaliação;8.9;9.5;7.7;9.5;0;0;7.292;5.0;6;-1.0;0;1;0;7.5;2022;1;0;0;0;1;0;1;5;2;5;4;3
